epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,65635.9,1.55843,1.774,1.52967,0.40939,0.30932,0.31048,0.15848,1.57005,1.7395,1.59354,0.005743,0.005743,0.005743
131,66140.4,1.54997,1.78429,1.52468,0.41234,0.3089,0.31219,0.15912,1.5726,1.74473,1.59375,0.00571,0.00571,0.00571
132,66644.4,1.5499,1.77879,1.52544,0.40681,0.30918,0.31201,0.15936,1.57392,1.74432,1.5943,0.005677,0.005677,0.005677
133,67148.4,1.55085,1.76554,1.5206,0.40134,0.31515,0.31172,0.15925,1.57603,1.74457,1.59524,0.005644,0.005644,0.005644
134,67652.5,1.54167,1.75681,1.52198,0.40755,0.31691,0.31243,0.15952,1.57699,1.74243,1.59509,0.005611,0.005611,0.005611
135,68156.9,1.55217,1.75662,1.52357,0.39775,0.3219,0.3103,0.15835,1.57778,1.74036,1.59388,0.005578,0.005578,0.005578
136,68660.7,1.54447,1.76254,1.51561,0.39712,0.3214,0.31071,0.15816,1.5765,1.74518,1.59403,0.005545,0.005545,0.005545
137,69164.7,1.5403,1.75005,1.51859,0.39536,0.32766,0.31328,0.15968,1.57475,1.74168,1.59132,0.005512,0.005512,0.005512
138,69670.5,1.54077,1.74187,1.51174,0.39198,0.32487,0.31133,0.15804,1.57521,1.74064,1.5907,0.005479,0.005479,0.005479
139,70176.9,1.54521,1.75377,1.52124,0.39709,0.32868,0.31335,0.16013,1.57534,1.73946,1.59061,0.005446,0.005446,0.005446
140,70684.2,1.53615,1.73911,1.51426,0.40061,0.32784,0.31396,0.1606,1.57685,1.73802,1.59114,0.005413,0.005413,0.005413
141,71191.8,1.53655,1.72665,1.50682,0.39861,0.32592,0.31454,0.16115,1.57797,1.73842,1.59105,0.00538,0.00538,0.00538
142,71697.8,1.53521,1.74357,1.51075,0.40418,0.32578,0.31643,0.16191,1.57844,1.73798,1.59073,0.005347,0.005347,0.005347
143,72203.1,1.53459,1.73209,1.50469,0.40319,0.32569,0.31583,0.16205,1.57902,1.73751,1.59001,0.005314,0.005314,0.005314
144,72708.5,1.53334,1.74352,1.51291,0.41782,0.32612,0.31457,0.16086,1.57989,1.73778,1.59055,0.005281,0.005281,0.005281
145,73212.6,1.53683,1.74658,1.51339,0.42051,0.32361,0.3172,0.16128,1.57975,1.7359,1.58927,0.005248,0.005248,0.005248
146,73716.9,1.53816,1.73662,1.5148,0.43029,0.3198,0.31612,0.16037,1.57911,1.73534,1.58847,0.005215,0.005215,0.005215
147,74221.1,1.53898,1.73807,1.50762,0.4272,0.32252,0.32055,0.16264,1.58069,1.73619,1.59012,0.005182,0.005182,0.005182
148,74727.1,1.5395,1.72839,1.51237,0.43225,0.32433,0.31796,0.16158,1.57968,1.73908,1.58922,0.005149,0.005149,0.005149
149,75231.4,1.52364,1.70712,1.49576,0.42044,0.32255,0.31698,0.16135,1.58191,1.73533,1.59052,0.005116,0.005116,0.005116
150,75735.4,1.53421,1.73408,1.512,0.41372,0.32272,0.31476,0.16029,1.57983,1.73279,1.58887,0.005083,0.005083,0.005083
151,76239.1,1.5236,1.71751,1.50236,0.38997,0.32458,0.31555,0.16046,1.57962,1.73314,1.58941,0.00505,0.00505,0.00505
152,76743.3,1.52832,1.72657,1.50837,0.39692,0.32279,0.31532,0.16084,1.58112,1.73571,1.59085,0.005017,0.005017,0.005017
153,77247.4,1.52924,1.72626,1.51304,0.40065,0.32374,0.31215,0.15988,1.58215,1.73614,1.59138,0.004984,0.004984,0.004984
154,77751.7,1.52599,1.71048,1.50155,0.40479,0.32124,0.31513,0.16064,1.58321,1.73517,1.59071,0.004951,0.004951,0.004951
155,78256.5,1.53078,1.71804,1.51105,0.40917,0.32212,0.31597,0.16123,1.58283,1.73046,1.59001,0.004918,0.004918,0.004918
156,78760.7,1.51338,1.70922,1.50117,0.40972,0.3147,0.31573,0.16132,1.58258,1.73333,1.5909,0.004885,0.004885,0.004885
157,79264.7,1.5262,1.70355,1.50087,0.39547,0.32955,0.31839,0.16188,1.58318,1.73171,1.5918,0.004852,0.004852,0.004852
158,79768.7,1.52906,1.70284,1.50462,0.39491,0.32519,0.31736,0.16146,1.58437,1.72792,1.59269,0.004819,0.004819,0.004819
159,80273.2,1.52283,1.70919,1.50689,0.38836,0.32601,0.31684,0.16183,1.58462,1.72766,1.59261,0.004786,0.004786,0.004786
160,80777.7,1.50433,1.68043,1.48921,0.38944,0.32658,0.31551,0.1609,1.58683,1.72555,1.59566,0.004753,0.004753,0.004753
161,81281.9,1.50895,1.67229,1.49677,0.39652,0.328,0.3177,0.16169,1.58671,1.72496,1.59538,0.00472,0.00472,0.00472
162,81786.5,1.51241,1.67985,1.48788,0.39589,0.32538,0.31666,0.16142,1.58872,1.72331,1.59594,0.004687,0.004687,0.004687
163,82290.7,1.50469,1.67426,1.49426,0.40194,0.3204,0.31787,0.162,1.58875,1.72405,1.59678,0.004654,0.004654,0.004654
164,82794.7,1.51384,1.69949,1.50134,0.41111,0.32622,0.32063,0.16374,1.58838,1.72186,1.59807,0.004621,0.004621,0.004621
165,83300,1.50986,1.67667,1.49249,0.41579,0.32058,0.3194,0.16333,1.59119,1.72471,1.60036,0.004588,0.004588,0.004588
166,83804,1.5126,1.6841,1.49429,0.41385,0.32422,0.31639,0.1622,1.59341,1.72533,1.601,0.004555,0.004555,0.004555
167,84308.4,1.51262,1.6703,1.496,0.41134,0.32746,0.31349,0.16206,1.59504,1.72835,1.60239,0.004522,0.004522,0.004522
168,84812.7,1.50813,1.69001,1.49096,0.40854,0.32667,0.31571,0.16215,1.59526,1.73164,1.60303,0.004489,0.004489,0.004489
169,85317,1.51073,1.67238,1.48504,0.40562,0.32713,0.31555,0.16176,1.59639,1.72853,1.6038,0.004456,0.004456,0.004456
170,85821.5,1.50999,1.6725,1.49054,0.40221,0.32507,0.31445,0.16222,1.59857,1.72919,1.60614,0.004423,0.004423,0.004423
171,86325.8,1.51023,1.67084,1.49273,0.40248,0.32646,0.31806,0.16354,1.59965,1.72892,1.60674,0.00439,0.00439,0.00439
172,86830.1,1.50379,1.65813,1.4995,0.41076,0.31699,0.32097,0.16316,1.59948,1.72769,1.60693,0.004357,0.004357,0.004357
173,87334.6,1.50439,1.66629,1.49275,0.41572,0.31591,0.32343,0.165,1.60043,1.72671,1.60756,0.004324,0.004324,0.004324
174,87841,1.50444,1.65819,1.49173,0.40405,0.3151,0.3216,0.16526,1.59718,1.72602,1.60678,0.004291,0.004291,0.004291
175,88348.5,1.49435,1.65016,1.48885,0.4082,0.31564,0.31996,0.16461,1.59809,1.72904,1.60712,0.004258,0.004258,0.004258
176,88854.1,1.5003,1.6592,1.48258,0.40602,0.31908,0.31873,0.16393,1.59965,1.72998,1.60644,0.004225,0.004225,0.004225
177,89359.2,1.49455,1.65339,1.47304,0.40336,0.31996,0.31975,0.16368,1.6,1.72812,1.6062,0.004192,0.004192,0.004192
178,89864.9,1.49621,1.63792,1.47663,0.4053,0.32177,0.31597,0.16213,1.60198,1.72855,1.60708,0.004159,0.004159,0.004159
179,90370,1.49782,1.65431,1.48431,0.40462,0.32288,0.31581,0.16217,1.60282,1.72751,1.6086,0.004126,0.004126,0.004126
180,90874.8,1.4976,1.65518,1.47876,0.39994,0.32148,0.31374,0.16146,1.60282,1.73114,1.60791,0.004093,0.004093,0.004093
181,91379.3,1.48897,1.6241,1.471,0.39925,0.32237,0.31279,0.16133,1.6025,1.72987,1.60699,0.00406,0.00406,0.00406
182,91883.4,1.48735,1.61787,1.47767,0.39716,0.32572,0.31421,0.16069,1.60167,1.72969,1.60598,0.004027,0.004027,0.004027
183,92387.4,1.48316,1.61793,1.45978,0.39516,0.32406,0.31358,0.16115,1.60117,1.72689,1.60567,0.003994,0.003994,0.003994
184,92891.5,1.49226,1.62082,1.47871,0.4058,0.31935,0.31397,0.161,1.60246,1.7287,1.60708,0.003961,0.003961,0.003961
